Season,League,Team,Age,MP,Starts,Mins,90s,Goals,Assists,G+A,G-PK,PK,PKatt,CrdY,CrdR,CarProg,PasProg,RecProg,Goals/90,Assists/90,G+A/90,G-PK/90,G+A-PK/90,xG,npxG,xAG,Expected_npxG+xAG,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Shots,SoT,SoT%,Shots/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Shots,G-xG,np:G-xG,Tkl,TklW,Challenges,ChallengesAtt,ChallengesLost,Blk,Int,Tkl+Int,Clr,Err,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,xA,A-xAG,KP,FinalThirdPasses,PPA,CrsPA,Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries,Carries_TotDist,Carries_PrgDist,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,SCA,SCA_SCA90,GCA,GCA_GCA90,Fls,Fld,Off,Crs,PKwon,PKcon,OG,Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%
2017-2018,EPL,Manchester City,26.4,38.0,418,3420,38,103,85,188,97,6,8,59,4,1308,2570,2550,2.71,2.24,4.95,2.55,4.79,78.6,72.7,57.9,130.6,2.07,1.52,3.59,1.91,3.44,656,254,38.7,17.26,6.68,0.15,0.38,17.8,30,0.11,24.4,24.3,563,381,195,561,366,328,346,909,620,19,26164,29961,87.3,421270,127277,13122,14165,92.6,10259,11378,90.2,1810,2720,66.5,60.7,27.1,498,2026,525,44,33628,1767,6970,17205,9719,1255,33620,732,503,68.7,228,31.1,21785,117099,66804,973,331,553,406,26023,1209,31.82,193,5.08,344,354,67,691,8,2,2,2104,512,418,55.1
2017-2018,EPL,Manchester Utd,26.7,38.0,418,3420,38,67,53,120,66,1,3,63,1,920,1564,1547,1.76,1.39,3.16,1.74,3.13,55.7,53.3,40.5,93.8,1.47,1.07,2.53,1.4,2.47,509,170,33.4,13.39,4.47,0.13,0.39,18.4,21,0.11,11.3,12.7,564,369,173,555,382,382,481,1045,926,20,17765,21865,81.2,292678,102023,8463,9383,90.2,6387,7424,86.0,1751,3131,55.9,42.2,12.5,377,1324,357,73,25907,2212,6985,12031,7107,895,25904,736,466,63.3,270,36.7,14201,79919,43760,695,217,512,399,17639,916,24.11,117,3.08,405,422,88,753,1,1,2,2133,617,493,55.6
2017-2018,EPL,Tottenham,25.8,38.0,418,3420,38,70,51,121,68,2,3,51,3,862,2249,2228,1.84,1.34,3.18,1.79,3.13,64.7,62.3,49.0,111.3,1.7,1.29,2.99,1.64,2.93,620,209,33.7,16.32,5.5,0.11,0.33,18.4,28,0.1,5.3,5.7,618,399,212,537,325,360,380,998,878,22,19284,23695,81.4,363818,126442,7604,8618,88.2,9105,10458,87.1,2278,3694,61.7,43.6,2.0,462,1793,394,63,27821,2080,7157,13466,7466,949,27818,719,436,60.6,281,39.1,14767,80757,42259,642,180,534,460,19147,1092,28.74,114,3.0,384,394,88,825,3,3,1,2142,605,583,50.9
2017-2018,EPL,Liverpool,25.6,38.0,418,3420,38,82,58,140,80,2,3,40,1,982,2236,2218,2.16,1.53,3.68,2.11,3.63,72.9,70.6,52.7,123.3,1.92,1.39,3.31,1.86,3.24,635,226,35.6,16.71,5.95,0.13,0.35,17.7,22,0.11,9.1,9.4,637,450,196,521,325,388,379,1016,788,12,20367,24900,81.8,367077,125520,8322,9359,88.9,9546,10936,87.3,1998,3478,57.4,47.7,5.3,488,1763,464,67,28759,1843,6993,14748,7291,1064,28756,652,440,67.5,210,32.2,16418,88873,48496,690,235,574,447,20236,1139,29.97,144,3.79,344,305,70,764,3,6,0,2258,585,650,47.4
2017-2018,EPL,Chelsea,26.7,38.0,418,3420,38,60,42,102,57,3,3,42,6,1045,1998,1969,1.58,1.11,2.68,1.5,2.61,54.4,52.0,41.5,93.5,1.43,1.09,2.52,1.37,2.46,603,210,34.8,15.87,5.53,0.09,0.27,17.9,20,0.09,5.6,5.0,636,426,208,550,342,365,424,1060,842,24,18967,23101,82.1,329238,111578,8564,9566,89.5,7753,8910,87.0,1892,3091,61.2,43.3,0.5,482,1431,398,74,27165,2307,8084,12055,7334,988,27162,734,513,69.9,221,30.1,16479,93989,51657,699,238,533,414,18823,1114,29.32,110,2.89,363,405,108,755,3,2,2,2233,602,506,54.3
2017-2018,EPL,Arsenal,26.8,38.0,418,3420,38,73,61,134,69,4,5,57,2,915,2223,2210,1.92,1.61,3.53,1.82,3.42,68.3,64.3,53.3,117.6,1.8,1.4,3.2,1.69,3.1,589,223,37.9,15.5,5.87,0.12,0.31,17.9,30,0.11,4.7,4.7,623,425,218,581,363,372,427,1050,879,33,20878,25193,82.9,353044,121329,9800,10957,89.4,8683,9926,87.5,1749,2912,60.1,55.2,7.7,444,1658,478,49,29146,2201,7494,13560,8306,1104,29141,547,383,70.0,164,30.0,18631,95357,50346,805,214,540,412,20745,1079,28.39,131,3.45,383,377,89,572,5,6,0,2148,630,660,48.8
2017-2018,EPL,Burnley,27.5,38.0,418,3420,38,35,26,61,35,0,0,60,0,431,1103,1090,0.92,0.68,1.61,0.92,1.61,32.3,32.3,23.6,55.9,0.85,0.62,1.47,0.85,1.47,378,126,33.3,9.95,3.32,0.09,0.28,17.0,16,0.09,2.7,2.7,533,355,204,553,349,457,400,933,1300,8,10524,15340,68.6,209049,89786,4349,5306,82.0,4168,5417,76.9,1695,3719,45.6,23.5,2.4,278,974,213,89,19452,2376,6334,8960,4332,589,19452,345,218,63.2,127,36.8,8853,45635,22260,329,88,489,345,10419,664,17.47,58,1.53,350,422,100,707,0,5,1,1875,912,967,48.5
2017-2018,EPL,Everton,26.7,38.0,418,3420,38,42,26,68,37,5,8,55,5,477,1161,1152,1.11,0.68,1.79,0.97,1.66,40.5,34.1,24.7,58.8,1.07,0.65,1.71,0.9,1.55,351,110,31.3,9.24,2.89,0.11,0.34,17.6,8,0.1,1.5,2.9,644,447,223,612,389,426,514,1158,1308,22,11953,16472,72.6,221336,88831,5380,6360,84.6,4511,5598,80.6,1579,3385,46.6,24.5,1.3,263,1044,211,70,20994,2427,7086,9205,4900,608,20986,461,264,57.3,197,42.7,10177,52954,26650,352,105,616,381,11850,629,16.55,71,1.87,460,364,82,629,8,5,0,2046,760,852,47.1
2017-2018,EPL,Leicester City,27.2,38.0,418,3420,38,53,38,91,48,5,6,55,9,655,1271,1251,1.39,1.0,2.39,1.26,2.26,50.0,45.3,34.9,80.2,1.32,0.92,2.24,1.19,2.11,417,137,32.9,10.97,3.61,0.12,0.35,17.6,11,0.11,3.0,2.7,630,417,208,616,408,465,414,1044,1007,17,12357,17124,72.2,226357,89044,5532,6632,83.4,4543,5830,77.9,1720,3430,50.1,31.1,3.1,297,1010,225,72,21322,2209,6497,10115,4964,673,21316,718,422,58.8,294,40.9,10418,64343,32440,471,151,516,358,12216,731,19.24,94,2.47,364,357,92,744,6,4,2,2154,787,752,51.1
2017-2018,EPL,Newcastle Utd,25.6,38.0,418,3420,38,38,29,67,38,0,1,52,3,548,1145,1134,1.0,0.76,1.76,1.0,1.76,41.6,40.9,32.1,72.9,1.1,0.84,1.94,1.08,1.92,450,146,32.4,11.84,3.84,0.08,0.26,19.2,21,0.09,-3.6,-2.9,645,426,221,638,417,475,441,1086,1219,17,11071,15659,70.7,199740,86134,5153,6161,83.6,4100,5358,76.5,1385,3119,44.4,26.1,-3.1,321,911,220,75,20180,2275,6899,8975,4531,601,20179,535,304,56.8,230,43.0,9949,52745,27557,436,121,523,410,10963,781,20.55,63,1.66,409,369,63,616,1,6,3,2021,884,927,48.8
