Name,Predicted_Goals
Robert Lewandowski,30.265396825396742
Kylian Mbappé,27.08642857142852
Erling Haaland,26.385952380952382
Harry Kane,22.76888888888889
Mohamed Salah,22.359444444444474
Lionel Messi,22.272380952381035
Ciro Immobile,22.064047619047624
Loïs Openda,20.953194444444463
Karim Benzema,20.533888888888956
Cristiano Ronaldo,19.798373015873057
Wissam Ben Yedder,19.17638888888886
Elye Wahi,19.062083333333323
Luis Suárez,17.771944444444443
Lautaro Martínez,17.298055555555557
Jonathan David,17.27791666666668
Cristhian Stuani,16.22958333333336
Iago Aspas,16.050416666666667
Ivan Toney,15.975416666666668
Gabriel Martinelli,15.030833333333332
Son Heung-min,15.0175
Romelu Lukaku,14.9825
Dušan Vlahović,14.529375
Victor Osimhen,14.131180555555561
Jamie Vardy,14.10493055555559
João Pedro,14.000277777777775
Marco Mancosu,13.980624999999991
Alexandre Lacazette,13.927569444444423
Ollie Watkins,13.331666666666676
Gerard Moreno,13.330555555555566
Terem Moffi,13.320555555555563
Pierre-Emerick Aubameyang,13.23777777777775
Sadio Mané,13.105555555555581
Andrej Kramarić,13.098888888888911
Valentín Castellanos,13.035555555555563
Neymar,13.006666666666671
Domenico Berardi,12.659444444444443
Raheem Sterling,12.56055555555561
Memphis,12.44944444444439
Gaëtan Laborde,12.438888888888837
André Silva,12.105000000000011
Thijs Dallinga,12.032222222222225
Emiliano Sala,12.010972222222223
Khvicha Kvaratskhelia,12.005833333333335
Serge Gnabry,12.003333333333336
Duván Zapata,11.777638888888925
Callum Wilson,11.77722222222226
Andy Delort,11.776111111111147
Lorenzo Insigne,11.75166666666667
Gonzalo Higuaín,11.666527777777787
Antoine Griezmann,11.665416666666676
Francesco Caputo,11.6225
Habib Diallo,11.497410714285712
Borja Iglesias,11.493392857142856
Dries Mertens,11.488968253968252
Bruno Fernandes,11.459722222222213
Marko Arnautović,11.246597222222197
Karl Toko Ekambi,11.242609126984094
Wout Weghorst,11.122847222222221
Álvaro Morata,11.11337301587301
Luis Muriel,11.111111111111107
Ivan Santini,11.000555555555557
Edin Džeko,10.999375
Rouwen Hennings,10.999305555555557
Joselu,10.997013888888889
Teemu Pukki,10.989513888888888
Serhou Guirassy,10.977847222222222
Marcus Rashford,10.890763888888898
Ludovic Ajorque,10.868958333333335
Mauro Icardi,10.73493055555556
Christopher Nkunku,10.667916666666688
Timo Werner,10.552083333333371
Folarin Balogun,10.502222222222224
Sergio Agüero,10.501666666666665
Beto,10.5
Kevin Volland,10.449999999999957
Mario Balotelli,10.315208333333308
Randal Kolo Muani,10.28282738095236
Tammy Abraham,10.248392857142852
Fabio Quagliarella,10.224841269841235
José Luis Morales,10.224365079365043
Moussa Dembélé,10.12490079365079
Martin Terrier,10.114067460317441
Boulaye Dia,10.00125
Wayne Rooney,10.001111111111111
Burak Yılmaz,10.000625
Zakaria Aboukhlal,10.000555555555556
Gabriel Jesus,10.0
Paulo Dybala,10.0
Diogo Jota,9.75
Rafael Leão,9.749166666666666
Patrik Schick,9.666875000000028
Wilfried Zaha,9.666666666666694
Hwang Ui-jo,9.666666666666694
Rafa Mir,9.666458333333361
Alexander Isak,9.625833333333334
Enes Ünal,9.561805555555594
Giovanni Simeone,9.557291666666707
Roberto Firmino,9.555902777777819
Simeon Nwankwo,9.333333333333307
Danny Ings,9.333333333333307
